Timestamp,AccelX,AccelY,AccelZ
11.748683,0.054337,-0.959946,-0.344131
11.769785,0.072449,-0.923721,-0.344131
11.790885,0.072449,-0.905609,-0.307907
11.811452,0.054337,-0.905609,-0.307907
11.832021,0.072449,-0.905609,-0.326019
11.853045,0.054337,-0.923721,-0.326019
11.874174,0.036224,-0.923721,-0.307907
11.895262,0.018112,-0.905609,-0.307907
11.916138,0.000000,-0.923721,-0.307907
11.937141,-0.018112,-0.941833,-0.289795
11.958354,-0.018112,-0.959946,-0.307907
11.979290,-0.018112,-0.941833,-0.307907
12.000334,-0.036224,-0.959946,-0.307907
12.020544,-0.036224,-0.959946,-0.289795
12.041644,-0.036224,-0.978058,-0.289795
12.061665,-0.036224,-0.996170,-0.271683
12.082742,-0.036224,-0.959946,-0.235458
12.103772,-0.054337,-0.978058,-0.271683
12.124824,-0.054337,-0.996170,-0.271683
12.145641,-0.036224,-0.978058,-0.289795
12.166226,-0.036224,-0.978058,-0.271683
12.187376,-0.036224,-0.959946,-0.235458
12.208417,-0.018112,-0.959946,-0.253571
12.229600,-0.018112,-0.941833,-0.253571
12.250532,0.036224,-0.978058,-0.289795
12.271172,0.036224,-0.996170,-0.307907
12.292347,0.036224,-1.014282,-0.253571
12.313379,0.018112,-0.996170,-0.253571
12.333611,0.036224,-0.978058,-0.289795
12.354676,0.036224,-1.014282,-0.344131
12.375661,-0.018112,-0.959946,-0.235458
12.396750,-0.054337,-0.796936,-0.144897
12.417940,-0.054337,-0.833160,-0.163010
12.438382,-0.054337,-0.923721,-0.271683
12.459466,-0.018112,-1.014282,-0.344131
12.479840,-0.018112,-1.014282,-0.307907
12.500909,0.000000,-1.014282,-0.217346
12.520700,0.036224,-1.014282,-0.217346
12.542578,0.036224,-1.032394,-0.289795
12.563470,0.000000,-1.032394,-0.289795
12.584559,-0.036224,-1.014282,-0.289795
12.605562,-0.036224,-1.014282,-0.253571
12.625908,-0.036224,-0.996170,-0.235458
12.646908,-0.036224,-0.978058,-0.217346
12.667977,-0.072449,-0.959946,-0.199234
12.689015,-0.072449,-0.978058,-0.199234
12.710236,-0.072449,-0.959946,-0.217346
12.730761,-0.036224,-0.923721,-0.199234
12.751592,-0.036224,-0.923721,-0.199234
12.772605,-0.036224,-0.923721,-0.199234
12.793743,-0.036224,-0.905609,-0.163010
12.814764,-0.036224,-0.905609,-0.181122
12.835696,-0.036224,-0.959946,-0.235458
12.856965,-0.036224,-0.996170,-0.235458
12.878027,-0.036224,-0.996170,-0.235458
12.899092,0.000000,-1.014282,-0.235458
12.920141,0.018112,-1.014282,-0.253571
12.941166,0.018112,-0.996170,-0.235458
12.962254,0.018112,-0.978058,-0.235458
12.983408,0.018112,-0.959946,-0.235458
13.004392,0.054337,-0.978058,-0.199234
13.025403,0.054337,-1.032394,-0.235458
13.045945,0.072449,-1.014282,-0.199234
13.065338,0.072449,-0.978058,-0.163010
13.085106,0.054337,-0.959946,-0.126785
13.106966,0.072449,-0.959946,-0.163010
13.127927,0.054337,-0.941833,-0.181122
13.148069,0.072449,-0.941833,-0.181122
13.169069,0.090561,-0.923721,-0.163010
13.189356,0.090561,-0.923721,-0.144897
13.210447,0.072449,-0.905609,-0.144897
13.231478,0.054337,-0.941833,-0.163010
13.252549,0.036224,-0.978058,-0.199234
13.273462,0.018112,-0.978058,-0.217346
13.294245,-0.018112,-0.978058,-0.199234
13.315266,-0.018112,-0.959946,-0.199234
13.336312,-0.036224,-0.941833,-0.199234
13.356511,-0.054337,-0.978058,-0.199234
13.377164,-0.018112,-1.014282,-0.235458
13.398927,0.036224,-1.032394,-0.235458
13.419967,0.036224,-0.978058,-0.163010
13.441087,0.018112,-0.978058,-0.144897
13.462017,0.072449,-0.996170,-0.144897
13.483300,0.090561,-0.996170,-0.090561
13.503862,0.090561,-0.996170,-0.108673
13.524902,0.090561,-0.941833,-0.163010
13.545069,0.072449,-0.905609,-0.126785
13.566118,0.072449,-0.923721,-0.163010
13.587201,0.090561,-0.941833,-0.144897
13.608361,0.072449,-0.941833,-0.144897
13.629370,0.054337,-0.959946,-0.163010
13.649704,0.018112,-1.014282,-0.199234
13.670853,0.000000,-1.068619,-0.217346
13.691867,0.036224,-1.122955,-0.217346
13.712969,0.036224,-1.159180,-0.253571
13.734013,-0.018112,-1.014282,-0.163010
13.754866,-0.036224,-0.978058,-0.163010
13.775913,-0.036224,-1.032394,-0.199234
13.797503,-0.018112,-1.050507,-0.253571
13.818204,-0.018112,-1.014282,-0.235458
13.839167,-0.018112,-0.978058,-0.217346
13.860296,0.000000,-0.941833,-0.199234
13.881364,0.054337,-0.959946,-0.217346
13.902090,0.036224,-0.996170,-0.235458
13.923116,0.054337,-1.014282,-0.235458
13.944139,0.054337,-0.978058,-0.235458
13.965229,0.054337,-0.978058,-0.235458
13.986328,0.036224,-0.941833,-0.253571
14.006549,0.054337,-0.941833,-0.235458
14.025461,0.036224,-0.941833,-0.235458
14.046974,0.018112,-0.959946,-0.235458
14.067108,0.018112,-0.941833,-0.235458
14.088128,0.018112,-0.941833,-0.235458
14.107250,0.000000,-0.923721,-0.217346
14.128405,0.018112,-0.905609,-0.217346
14.148748,0.000000,-0.905609,-0.199234
14.169729,0.036224,-0.941833,-0.199234
14.190849,0.000000,-0.923721,-0.199234
14.211137,0.000000,-0.941833,-0.199234
14.232137,0.036224,-0.978058,-0.217346
14.253162,0.036224,-1.014282,-0.235458
14.273859,0.036224,-1.032394,-0.217346
14.295483,-0.018112,-1.050507,-0.235458
14.315445,-0.018112,-1.032394,-0.217346
14.337164,-0.018112,-0.996170,-0.217346
14.358176,-0.018112,-0.959946,-0.181122
14.378741,-0.018112,-0.959946,-0.181122
14.399852,-0.036224,-0.978058,-0.181122
14.420629,-0.018112,-0.959946,-0.181122
14.441693,-0.036224,-0.941833,-0.163010
14.462988,-0.036224,-0.941833,-0.163010
14.483570,-0.018112,-0.959946,-0.181122
14.504618,-0.018112,-0.959946,-0.199234
14.526773,-0.036224,-0.941833,-0.181122
14.546649,-0.036224,-0.959946,-0.163010
14.566932,-0.018112,-1.014282,-0.181122
14.588015,0.018112,-1.050507,-0.217346
14.608922,0.018112,-1.068619,-0.217346
14.629525,0.018112,-1.032394,-0.217346
14.650539,-0.036224,-0.959946,-0.163010
14.670933,-0.018112,-0.905609,-0.126785
14.691941,0.018112,-0.996170,-0.217346
14.713008,0.054337,-1.086731,-0.289795
14.733781,0.036224,-1.032394,-0.289795
14.754889,0.018112,-0.959946,-0.271683
14.775864,0.036224,-0.905609,-0.253571
14.796608,0.090561,-0.905609,-0.271683
14.817627,0.090561,-0.941833,-0.289795
14.838668,0.072449,-0.959946,-0.253571
14.859759,0.072449,-0.978058,-0.235458
14.880550,0.054337,-0.978058,-0.271683
14.901537,0.036224,-1.014282,-0.271683
14.922680,0.036224,-0.978058,-0.217346
14.943572,-0.018112,-0.996170,-0.217346
14.964639,-0.018112,-0.959946,-0.235458
14.985719,-0.018112,-0.959946,-0.235458
15.006803,-0.018112,-0.941833,-0.217346
15.028605,0.018112,-0.923721,-0.199234
15.048039,0.036224,-0.941833,-0.199234
15.068589,0.036224,-0.941833,-0.217346
15.089639,0.036224,-0.978058,-0.217346
15.110652,0.036224,-0.996170,-0.235458
15.130819,0.054337,-0.978058,-0.181122
15.150997,0.054337,-0.978058,-0.217346
15.172006,0.072449,-0.978058,-0.217346
15.193103,0.072449,-0.978058,-0.235458
15.214203,0.054337,-0.959946,-0.235458
15.234602,0.054337,-0.941833,-0.235458
15.255621,0.072449,-0.941833,-0.235458
15.275474,0.072449,-0.941833,-0.253571
15.297217,0.036224,-0.959946,-0.235458
15.318215,0.018112,-0.959946,-0.217346
15.338943,0.036224,-0.978058,-0.235458
15.360066,0.018112,-0.996170,-0.235458
15.380314,0.000000,-0.996170,-0.217346
15.401218,0.000000,-1.014282,-0.235458
15.422620,-0.018112,-1.014282,-0.253571
15.443568,-0.036224,-1.014282,-0.271683
15.464636,-0.018112,-1.014282,-0.253571
15.485298,-0.018112,-1.014282,-0.253571
15.506361,-0.018112,-0.978058,-0.253571
15.527372,0.000000,-0.941833,-0.235458
15.548287,0.018112,-0.923721,-0.271683
15.569519,0.000000,-0.923721,-0.271683
15.589936,0.018112,-0.941833,-0.235458
15.610542,0.054337,-0.941833,-0.217346
15.631181,0.018112,-0.941833,-0.217346
15.652244,0.036224,-0.941833,-0.235458
15.673378,0.018112,-0.941833,-0.253571
15.693946,0.000000,-0.978058,-0.235458
15.715055,-0.018112,-0.996170,-0.199234
15.736155,-0.018112,-0.996170,-0.217346
15.757226,-0.018112,-0.996170,-0.235458
15.778294,-0.036224,-0.978058,-0.235458
15.799316,-0.018112,-0.978058,-0.217346
15.820318,-0.018112,-0.941833,-0.126785
15.840606,-0.018112,-0.959946,-0.144897
